index,measurement_a,measurement_b,measurement_c
0.0,10.496714153011233,29.938372868481483,7.5219512082680975
1.0,9.861735698828815,27.362094946697873,0.9285585321448533
2.0,10.647688538100692,28.562044016661243,8.860809529625644
3.0,11.523029856408025,35.61700191100165,6.7204261621771675
4.0,9.765846625276664,22.888880124421544,6.738350462957288
5.0,9.76586304305082,34.47012793976469,4.917134506234926
6.0,11.579212815507391,22.366006411539587,3.8553415081696354
7.0,10.767434729152908,31.202041019711007,4.073654112551363
8.0,9.530525614065049,26.78953581052603,9.163268139915058
9.0,10.542560043585965,37.96101145398823,10.149498245989326
10.0,9.536582307187537,30.518636771107563,8.163134156322952
11.0,9.534270246429744,32.15890705883283,3.3099806911567016
12.0,10.241962271566035,29.811629037517292,6.3384972857486455
13.0,8.086719755342202,30.944310497745555,10.998133257541872
14.0,8.275082167486968,31.45109615925078,5.717017961333683
15.0,9.437712470759028,24.306998806723257,8.028166033874436
16.0,8.987168879665576,22.44612127458782,4.335835987989271
17.0,10.314247332595274,25.76750983049962,3.1959959203220247
18.0,9.091975924478788,29.87469069921512,3.073465460757121
19.0,8.587696298664708,28.17585037893388,4.748998209355001
20.0,11.465648768921554,24.75773705586628,4.697380372323553
21.0,9.774223699513465,28.986203279700092,5.11166378436185
22.0,10.067528204687925,22.79099012796373,8.454926810059131
23.0,8.575251813786544,33.75348105266722,3.7687848393446535
24.0,9.455617275474818,26.0168995207884,4.104961953982242
25.0,10.110922589709865,33.00793790536627,7.093328118846268
26.0,8.849006422577697,25.07783907479561,3.160887050668062
27.0,10.375698018345672,24.863212739063712,3.8093744342574443
28.0,9.399361310081195,18.036477652371968,2.437562886657653
29.0,9.708306250206723,31.847869095532445,6.8330695176143
30.0,9.398293387770604,33.41350450065424,5.697680177731631
31.0,11.852278184508938,27.01194764790028,7.449050562288907
32.0,9.986502775262066,33.90663325854423,4.963762048799211
33.0,8.9422890710441,32.31998869657723,4.497726328096024
34.0,10.822544912103188,22.894194730720315,6.744370299136049
35.0,8.779156350028977,24.113743944887574,0.15500041550639665
36.0,10.208863595004756,34.64736224081697,3.850065110966161
37.0,8.040329876120225,31.089057401469866,8.706217111489739
38.0,8.67181395110157,32.956813947974105,3.6784633315986204
39.0,10.196861235869124,35.407793774086606,4.068612538965039
40.0,10.73846657999541,31.27145157773931,8.661819254256162
41.0,10.17136828118997,20.588985097692188,2.3142418709994095
42.0,9.884351717611759,27.35261181418801,7.512673671650261
43.0,9.698896304410711,27.41873350667902,3.307013995772231
44.0,8.521478009632572,31.27604951155884,6.803966200003282
45.0,9.280155791605292,37.89958682428435,5.230019495971413
46.0,9.539361229040212,29.314861724402878,1.9426067246479732
47.0,11.057122226218915,30.761518679450134,1.213165872912624
48.0,10.343618289568461,30.55484681018924,2.1204354597811883
49.0,8.236959844637266,20.98396570157579,1.0843692982037734
50.0,10.324083969394795,27.16016195612167,4.840083486105561
51.0,9.614917719583683,30.119182715842708,6.578501689699147
52.0,9.323077999694041,25.414072608055974,0.7895450142468405
53.0,10.611676288840869,34.612914098704856,6.272175725279752
54.0,11.03099952249595,23.535017229084758,2.91435687410046
55.0,10.931280119116199,23.522384951589558,7.673510597663378
56.0,9.160782476777362,35.62867255231194,1.5840979084053424
57.0,9.690787624148786,33.04161777699399,2.6407646895414874
58.0,10.331263431403563,31.81224108866369,1.0156672523563985
59.0,10.97554512712236,29.58508150166904,3.5129910402651094
60.0,9.52082576215471,33.83856325905693,4.061511640475086
61.0,9.814341023336183,32.23738727399121,7.492042957066817
62.0,8.893665025993972,30.092726740236866,9.123447529580844
63.0,8.80379337591933,34.126706105679624,4.263229402588451
64.0,10.812525822394198,27.071697936806096,6.527896494510291
65.0,11.356240028570824,31.9561138902033,5.841107419195314
66.0,9.927989878419666,32.62313267983386,7.415447913785694
67.0,11.003532897892024,28.91104838841332,6.29608016792916
68.0,10.361636025047634,29.60523382695781,6.930557992569463
69.0,9.354880245394876,36.515716547319684,9.169935475164824
70.0,10.361395605508413,32.726413744987426,6.816579213448199
71.0,11.53803656646597,24.977325182517404,7.1884218967912865
72.0,9.964173960890049,34.60941595231548,-0.43334590257254035
73.0,11.564643655814006,35.92250738850955,10.562806062580096
74.0,7.380254895910255,31.193386364639707,3.761409267617296
